gid	code
MSTRG.12706.1	LEPC
MSTRG.12735.2	LEPC
MSTRG.12761.1	LEPC
MSTRG.12781.2	LEPC
MSTRG.12792.1	LEPC
MSTRG.12797.1	LEPC
MSTRG.12797.2	LEPC
MSTRG.12798.1	LEPC
MSTRG.12802.3	LEPC
MSTRG.12802.4	LEPC
MSTRG.1281.1	LEPC
MSTRG.12813.4	LEPC
MSTRG.1282.1	LEPC
MSTRG.12825.1	LEPC
MSTRG.12881.1	LEPC
MSTRG.12971.2	LEPC
MSTRG.12971.3	LEPC
MSTRG.12971.4	LEPC
MSTRG.12971.5	LEPC
MSTRG.12972.11	LEPC
MSTRG.12972.3	LEPC
MSTRG.12972.4	LEPC
MSTRG.12972.6	LEPC
MSTRG.13046.1	LEPC
MSTRG.13046.3	LEPC
MSTRG.13052.2	LEPC
MSTRG.13058.5	LEPC
MSTRG.13058.9	LEPC
MSTRG.13059.1	LEPC
MSTRG.13059.2	LEPC
MSTRG.13060.1	LEPC
MSTRG.13061.2	LEPC
MSTRG.13061.3	LEPC
MSTRG.13064.1	LEPC
MSTRG.13065.1	LEPC
MSTRG.13072.1	LEPC
MSTRG.13079.4	LEPC
MSTRG.13079.5	LEPC
MSTRG.13088.10	LEPC
MSTRG.13088.4	LEPC
MSTRG.13088.5	LEPC
MSTRG.13088.6	LEPC
MSTRG.13088.7	LEPC
MSTRG.13088.8	LEPC
MSTRG.13088.9	LEPC
MSTRG.1310.1	LEPC
MSTRG.1310.2	LEPC
MSTRG.1310.3	LEPC
MSTRG.13117.1	LEPC
MSTRG.13117.2	LEPC
MSTRG.13117.3	LEPC
MSTRG.13122.1	LEPC
MSTRG.13128.1	LEPC
MSTRG.13128.2	LEPC
MSTRG.13144.5	LEPC
MSTRG.13145.1	LEPC
MSTRG.13145.2	LEPC
MSTRG.13159.1	LEPC
MSTRG.13173.1	LEPC
MSTRG.13178.1	LEPC
MSTRG.13252.1	LEPC
MSTRG.13252.2	LEPC
MSTRG.13293.1	LEPC
MSTRG.13293.2	LEPC
MSTRG.13303.1	LEPC
MSTRG.13304.1	LEPC
MSTRG.13304.2	LEPC
MSTRG.13308.1	LEPC
MSTRG.13310.1	LEPC
MSTRG.13310.2	LEPC
MSTRG.13310.3	LEPC
MSTRG.13310.4	LEPC
MSTRG.13320.1	LEPC
MSTRG.13325.1	LEPC
MSTRG.13326.1	LEPC
MSTRG.13353.2	LEPC
MSTRG.13353.3	LEPC
MSTRG.13378.1	LEPC
MSTRG.13378.10	LEPC
MSTRG.13378.11	LEPC
MSTRG.13378.12	LEPC
MSTRG.13378.13	LEPC
MSTRG.13378.14	LEPC
MSTRG.13378.2	LEPC
MSTRG.13378.3	LEPC
MSTRG.13378.4	LEPC
MSTRG.13378.5	LEPC
MSTRG.13378.6	LEPC
MSTRG.13378.7	LEPC
MSTRG.13378.8	LEPC
MSTRG.13378.9	LEPC
MSTRG.13389.11	LEPC
MSTRG.13389.15	LEPC
MSTRG.13389.18	LEPC
MSTRG.13389.3	LEPC
MSTRG.13389.5	LEPC
MSTRG.13389.6	LEPC
MSTRG.13389.7	LEPC
MSTRG.13406.1	LEPC
MSTRG.13406.10	LEPC
MSTRG.13406.2	LEPC
MSTRG.13406.3	LEPC
MSTRG.13406.4	LEPC
MSTRG.13406.5	LEPC
MSTRG.13406.6	LEPC
MSTRG.13406.7	LEPC
MSTRG.13406.8	LEPC
MSTRG.13406.9	LEPC
MSTRG.13419.1	LEPC
MSTRG.13429.6	LEPC
MSTRG.1345.2	LEPC
MSTRG.1345.3	LEPC
MSTRG.1345.4	LEPC
MSTRG.1345.5	LEPC
MSTRG.1345.6	LEPC
MSTRG.13453.1	LEPC
MSTRG.13470.1	LEPC
MSTRG.13470.2	LEPC
MSTRG.13470.3	LEPC
MSTRG.13470.4	LEPC
MSTRG.13470.5	LEPC
MSTRG.13475.1	LEPC
MSTRG.13475.2	LEPC
MSTRG.13475.3	LEPC
MSTRG.13475.4	LEPC
MSTRG.13556.1	LEPC
MSTRG.13592.1	LEPC
MSTRG.13593.1	LEPC
MSTRG.13593.2	LEPC
MSTRG.13598.1	LEPC
MSTRG.13599.3	LEPC
MSTRG.13637.1	LEPC
MSTRG.13671.1	LEPC
MSTRG.13682.1	LEPC
MSTRG.13682.2	LEPC
MSTRG.13682.3	LEPC
MSTRG.13682.4	LEPC
MSTRG.13682.5	LEPC
MSTRG.13682.6	LEPC
MSTRG.13682.7	LEPC
MSTRG.1369.1	LEPC
MSTRG.1369.2	LEPC
MSTRG.1372.3	LEPC
